,gene_id,type,rna_ctrl_cpm,rna_kd_cpm,rpf_ctrl_cpm,rpf_kd_cpm,TE_ctrl,TE_kd,delta_TE,delta_RNA,delta_RPF
0,ENSMUSG00000103922,,10.25768641780767,7.53751738491913,5.799439155570729,3.9273764508149402,0.5390972491976215,0.4886305388507045,-0.14180151486378179,-0.42054598261366083,-0.5087713418863244
1,ENSMUSG00000033845,,262.9045028884106,244.928790722856,246.7468046056826,173.8331624301184,0.9367600094149304,0.7082834981101093,-0.4033525578827883,-0.10197551023736384,-0.5041048444093539
2,ENSMUSG00000025903,cytoplasm,126.78500412410283,98.79821174426257,3.4023376379348274,3.085795782783167,0.02673007446044115,0.03107604586808144,0.21733908975114602,-0.3582228187903116,-0.12204528157226724
3,ENSMUSG00000033813,,228.2335227962207,172.63346268685748,47.09144594323432,30.670939901602384,0.20587907433746916,0.1771520041569099,-0.21680941404998588,-0.40178322899858543,-0.6105006303294953
4,ENSMUSG00000033793,,105.7567469675971,102.1212032795495,87.22356489978375,56.38590475812878,0.8208755433326272,0.5494566712936355,-0.5791577865112505,-0.050225603747780845,-0.6248932167660257
5,ENSMUSG00000104046,,21.64371834157419,15.804471936120757,0.4639551324456583,0.5610537786878486,0.020951997550230576,0.034411036486554095,0.7157835516827209,-0.44162978144304255,0.13845987748828656
6,ENSMUSG00000025905,integral membrane,2.0515372835615344,1.62097148062777,0.5412809878532681,0.7480717049171314,0.2121391646285204,0.35270238744356686,0.7334403490162771,-0.26664150083420357,0.26134139320041283
7,ENSMUSG00000025907,nucleus,92.62690835280327,56.24771037778361,19.40878970731004,12.343183131132667,0.20841226290667259,0.2175097999366147,0.061640235467400384,-0.714635899820041,-0.6324027066604616
8,ENSMUSG00000051285,cytoplasm,182.07393391608616,191.27463471407683,10.670968046250142,19.449864327845418,0.05844737974016973,0.10142042171971213,0.7951379247231825,0.07093110687941895,0.8366247238721156
9,ENSMUSG00000048538,,1.436076098493074,2.107262924816101,1.3145395419293653,0.5610537786878486,0.6789710089146415,0.2151887994677106,-1.6577469869105363,0.4294004166210311,-0.7741057159745768
10,ENSMUSG00000103067,,1.8463835552053809,1.3778257585336042,1.0052361202989262,0.9350896311464142,0.4284193511622771,0.49796400272868047,0.21701780894423983,-0.3213756619582917,-0.06884896859872902
11,ENSMUSG00000061024,,111.19332076903515,121.1676181769258,67.04151663839762,47.50255326223784,0.6002285201729234,0.39042889122034835,-0.6204520566049824,0.12340233039499182,-0.4926634302732742
12,ENSMUSG00000025911,,2.9747290611642248,4.943963015914698,1.4691912527445845,2.337724077866036,0.422821816286397,0.4294158632290506,0.022325670171896128,0.6477567763989214,0.5271310816130476
13,ENSMUSG00000025912,,40.41528448616223,34.93193540752844,2.3971015176359014,2.711759930324601,0.05858694489700088,0.07653434392264151,0.38552806577519894,-0.20758961079482496,0.14875382052292907
14,ENSMUSG00000045210,,99.0892507960221,81.61591404960822,31.703600717119986,21.50706151636753,0.31834360097813214,0.2619110042832208,-0.2815080886102168,-0.2783281897111758,-0.5492554837076176
15,ENSMUSG00000025915,,24.10556308184803,19.93794921172157,5.103506456902241,2.898777856553884,0.20741270744042392,0.14183310793684611,-0.5483099471549147,-0.2677340915769859,-0.7213138216260782
16,ENSMUSG00000046101,nucleus,3.2824596536984547,2.5935543690044316,1.0052361202989262,0.9350896311464142,0.26576254932845494,0.3022703077455028,0.18570145129795823,-0.2900593043120099,-0.06884896859872902
17,ENSMUSG00000098234,,59.39200435910642,60.867479097572755,26.754745971032964,25.808473819641033,0.44671649007794434,0.42055620011058636,-0.08706090645328568,0.0351109058344079,-0.05097991488060494
18,ENSMUSG00000099032,,12.82210802225959,10.536314624080504,1.9331463851902428,3.553340598356374,0.14510814519445384,0.32196804090771586,1.149788988219999,-0.27156389431146,0.7362882891377822
19,ENSMUSG00000025917,nucleus,160.3276387103339,141.6729074068671,110.11201810043623,63.58609491795617,0.6846585511260201,0.4472448097019425,-0.6143199352360681,-0.17786878935295025,-0.7874248771511825
20,ENSMUSG00000056763,cytoplasm,112.11651254663786,103.17483474195755,46.70481666619627,38.05814798765906,0.4147244095030417,0.3670914748249587,-0.1760133523877052,-0.11935263243144867,-0.29189831806131217
21,ENSMUSG00000067851,,152.429220168622,151.15559056853954,27.21870110347862,37.590603172085856,0.17798234420777714,0.24786823242824724,0.47783924954312784,-0.012065406761818664,0.4585754789740406
22,ENSMUSG00000048960,,153.45498881040277,108.92928349818614,3.0157083608967787,2.8052688934392425,0.019588247085715788,0.025635449705615057,0.3881519067976775,-0.4925097598117283,-0.08904775530549514
23,ENSMUSG00000057715,,6.154611850684604,12.319383252771052,1.8558205297826331,2.4312330409806773,0.2788773517409152,0.18965288680757236,-0.5562694427748494,0.9459004304344636,0.3152780342440962
24,ENSMUSG00000016918,,92.83206208115944,74.80783383097157,149.7028560691324,176.07737754486982,1.6039810192873933,2.338101743041441,0.5436806406867781,-0.3095728231074659,0.2333882763608628
25,ENSMUSG00000025938,,11.283455059588439,12.96777184502216,2.2424498068206815,3.553340598356374,0.19030494837725495,0.26384027285625045,0.47135172031223194,0.19274856824345932,0.5636461925593985
26,ENSMUSG00000042414,nucleus,42.466821769723765,56.89609897003472,11.057597323288189,11.314584536871612,0.257351995512962,0.1971315950022791,-0.38458394834859044,0.4177296190844739,0.03172738627852789
27,ENSMUSG00000005886,nucleus,111.60362822574747,192.89560619470458,55.51996418266378,62.7445142499244,0.4952557295546318,0.324436089756637,-0.6102393539860955,0.7867220466029057,0.1749992866694834
28,ENSMUSG00000102664,,3.590190246232685,4.052428701569425,1.7784946743750234,0.9350896311464142,0.4348195480670185,0.2054045636835668,-1.0819485648357074,0.1544684739057347,-0.6669401526199168
